playerID;stint;minutes;rebounds;assists;steals;blocks;turnovers;careerDuration;pos;height;weight;college;birthDate;birthState;birthCountry;ethnicity;target
aguirma01;1.07;1980.71;327.0;205.0;49.14;21.14;164.71;14;F-G;78.0;232.0;DePaul;1959-12-10;IL;USA;B;1.0
ahearbl01;1.0;69.0;6.0;6.0;2.33;0.0;7.67;3;G;74.0;190.0;SW Missouri State;1984-05-27;MO;USA;W;0.0
aingeda01;1.07;1850.33;184.53;279.93;75.53;8.73;104.4;15;G-F;76.0;175.0;Brigham Young;1959-03-17;OR;USA;W;0.0
ajincal01;1.25;137.75;28.0;3.25;4.75;6.5;8.0;4;C;84.0;220.0;none;1988-05-06;;FRA;B;0.0
akinhe01;1.0;245.67;60.33;13.33;0.0;0.0;1.33;3;C-F;82.0;225.0;Morehead State;1944-07-31;MI;USA;W;0.0
alarima01;1.0;1100.0;224.0;72.6;26.4;21.8;61.8;5;F;80.0;217.0;Duke;1963-12-11;AZ;USA;W;0.0
aldrila01;1.0;2529.5;544.67;127.83;59.0;71.83;109.67;6;F;83.0;240.0;Texas;1985-07-19;TX;USA;B;1.0
alexaco01;1.12;605.88;60.12;104.25;32.88;4.62;58.38;8;G;73.0;185.0;Virginia;1973-06-22;VA;USA;B;0.0
alexaco02;1.25;1016.75;102.25;56.75;27.75;4.5;50.75;4;G;77.0;205.0;Fresno State;1977-04-27;CT;USA;B;0.0
alexavi01;1.0;1151.0;276.8;51.4;27.0;35.4;75.6;5;C-F;81.0;265.0;Iowa State;1969-08-31;MI;USA;B;0.0
alforst01;1.2;328.2;28.8;35.2;17.0;2.0;17.8;5;G;74.0;183.0;Indiana;1964-11-23;IN;USA;W;0.0
allenje01;1.33;435.0;41.0;67.0;17.33;3.0;34.33;3;G;76.0;184.0;Pennsylvania;1973-01-28;PA;USA;B;0.0
allenlu01;1.09;1832.64;200.45;288.55;54.91;11.27;22.45;11;G;74.0;175.0;UCLA;1947-09-26;KS;USA;B;0.0
allenma01;1.17;605.25;112.75;19.0;10.83;18.33;26.67;12;F;82.0;255.0;Villanova;1978-06-27;NJ;USA;B;0.0
allenra02;1.06;2492.06;285.29;240.18;78.24;13.0;148.35;17;G;77.0;205.0;Connecticut;1975-07-20;CA;USA;B;1.0
allento01;1.0;1152.12;162.38;77.75;73.0;24.25;81.38;8;G;76.0;213.0;Oklahoma State;1982-01-11;IL;USA;B;0.0
almonmo01;1.0;121.33;15.33;4.0;4.0;1.33;6.33;3;G;78.0;215.0;Rice;1985-02-02;GA;USA;B;0.0
alstode01;1.0;1323.0;260.5;47.0;47.5;43.5;56.0;3;F;83.0;225.0;Duquesne;1972-08-20;NY;USA;B;0.0
alstora01;1.15;1491.62;145.46;246.31;62.54;8.08;91.92;13;G;74.0;171.0;Fresno State;1976-07-24;NY;USA;B;0.0
amaecjo01;1.0;962.2;154.4;45.6;18.0;18.8;77.2;5;C-F;81.0;270.0;Penn State;1970-11-26;MA;USA;B;0.0
amundlo01;1.17;633.67;177.17;15.17;16.5;37.33;31.5;7;F;81.0;225.0;UNLV;1982-12-07;CA;USA;W;0.0
anderal01;1.0;427.0;45.33;26.33;7.67;2.33;26.33;3;G-F;78.0;220.0;Michigan State;1982-10-16;MN;USA;B;0.0
anderan01;1.4;957.2;105.4;65.4;0.0;0.0;63.2;5;G;74.0;184.0;Canisius;1945-07-06;NY;USA;W;0.0
anderch01;1.0;860.5;251.4;24.1;21.8;76.9;38.2;10;F-C;82.0;220.0;Blinn CC;1978-07-07;TX;USA;W;0.0
andercl01;1.2;120.6;21.4;14.4;0.0;0.0;0.6;5;G-F;74.0;200.0;St. Joseph's (PA);1944-09-07;PA;USA;B;0.0
anderda01;1.75;1006.25;329.0;39.5;0.0;0.0;53.0;4;C;82.0;230.0;Augsburg;1943-02-15;MN;USA;W;0.0
anderda03;1.33;421.33;97.33;19.0;6.67;7.0;19.67;3;C;83.0;245.0;Australian Institute of Sport;1980-06-23;;AUS;W;0.0
anderde01;1.08;1497.58;165.67;173.58;57.58;7.25;87.67;12;G;76.0;194.0;Kentucky;1974-07-18;KY;USA;B;0.0
andergr01;1.25;1170.0;353.83;32.08;40.0;49.25;77.17;12;F-C;82.0;230.0;Houston;1964-06-22;TX;USA;B;0.0
anderjj01;1.25;492.5;109.75;27.5;26.75;9.75;32.75;4;F;80.0;195.0;Bradley;1960-09-23;IL;USA;B;0.0
anderke01;1.22;1437.11;146.72;288.67;69.89;6.17;98.28;18;G;72.0;168.0;Georgia Tech;1970-10-09;NY;USA;B;0.0
anderni01;1.0;1917.08;312.62;160.54;85.69;28.0;104.46;13;F-G;78.0;205.0;Illinois;1968-01-20;IL;USA;B;0.0
anderri01;1.14;857.43;202.57;87.29;32.14;13.43;51.71;7;F-C;82.0;240.0;Cal. St.-Santa Barbara;1960-11-19;CA;USA;W;0.0
anderro01;1.17;1259.33;192.67;79.33;39.17;7.5;60.83;12;F-G;79.0;215.0;Fresno State;1958-10-15;IL;USA;B;0.0
anderry01;1.0;1402.5;334.75;48.75;37.25;24.5;56.25;4;F;82.0;240.0;California;1988-05-06;CA;USA;W;0.0
andersh01;1.1;1592.6;225.1;100.7;55.6;18.0;95.7;11;F-G;78.0;208.0;Georgia;1973-12-31;GA;USA;B;0.0
anderwi01;1.1;1597.4;208.2;210.5;59.4;34.2;116.3;10;G-F;79.0;190.0;Georgia;1967-01-08;SC;USA;B;0.0
anslemi01;1.25;535.75;155.25;16.75;12.75;6.0;21.25;4;F;79.0;225.0;Alabama;1967-02-08;AL;USA;B;0.0
anstech01;1.0;719.0;178.0;42.33;26.0;21.67;49.0;3;C;84.0;249.0;none;1975-01-01;;AUS;W;0.0
anthoca01;1.1;2337.4;409.2;201.0;72.2;29.8;193.3;10;F;80.0;220.0;Syracuse;1984-05-29;NY;USA;B;1.0
anthogr01;1.08;1320.83;118.08;249.75;73.92;6.58;86.92;12;G;72.0;176.0;UNLV;1967-11-15;NV;USA;B;0.0
anthojo01;1.0;1136.8;211.0;15.0;19.0;82.0;36.8;5;C;81.0;245.0;UNLV;1982-08-09;QU;CAN;B;0.0
araujra01;1.0;528.33;131.67;13.67;17.0;5.33;37.0;3;C;83.0;290.0;Brigham Young;1980-08-12;;BRA;W;0.0
archina01;1.0;2396.85;157.38;498.15;55.31;6.23;86.38;13;G;73.0;150.0;UTEP;1948-09-02;NY;USA;B;1.0
archiro01;1.75;82.0;17.25;4.0;3.5;1.5;4.25;4;F;83.0;250.0;Illinois;1980-03-29;;SCO;W;0.0
ardji01;1.11;640.67;203.56;30.89;6.56;13.44;32.33;9;F-C;80.0;215.0;Cincinnati;1948-09-19;IL;USA;B;0.0
arenagi01;1.08;1612.58;180.67;242.42;73.67;11.17;145.33;12;G;75.0;191.0;Arizona ;1982-01-06;FL;USA;B;0.0
arizatr01;1.2;1278.8;219.5;97.4;66.9;17.9;68.4;10;F;79.0;194.0;UCLA;1985-06-30;FL;USA;B;0.0
arizipa01;1.0;2766.33;609.89;169.67;0.0;0.0;0.0;10;F-G;74.0;190.0;Villanova;1928-04-09;PA;USA;W;1.0
armstbj01;1.15;1368.46;101.62;190.69;41.0;3.62;68.38;13;G;74.0;175.0;Iowa;1967-09-09;MI;USA;B;0.0
armstbr01;1.0;233.0;21.0;8.0;7.33;1.33;12.33;3;G;77.0;185.0;Pepperdine;1980-06-16;CA;USA;B;0.0
armstda01;1.07;1327.6;151.33;226.27;75.53;6.53;103.73;15;G;72.0;169.0;Fayetteville State;1968-06-22;NC;USA;B;0.0
armsthi01;1.5;410.5;89.75;12.12;10.75;17.25;28.0;8;F-C;83.0;235.0;Connecticut;1984-11-11;NY;USA;B;0.0
arnetja01;1.0;392.33;38.67;46.33;0.0;0.0;0.0;3;G;74.0;175.0;Texas;1938-12-19;TX;USA;W;0.0
arnzebo01;1.0;238.0;54.25;8.75;0.75;0.5;4.0;4;F;77.0;205.0;Notre Dame;1947-11-03;KY;USA;W;0.0
arroyca01;1.31;819.08;74.23;135.46;22.31;2.0;52.31;13;G;74.0;202.0;Florida International;1979-07-30;;PUR;W;0.0
artesro01;1.13;1851.2;260.47;164.2;103.0;30.6;110.07;15;G-F;78.0;244.0;St. John's (NY);1979-11-13;NY;USA;B;0.0
arthuda01;1.0;1176.67;266.0;37.0;39.33;43.0;52.33;3;F;81.0;225.0;Kansas ;1988-03-25;TX;USA;B;0.0
askewvi01;1.36;850.36;106.91;92.45;27.64;9.64;45.73;12;G-F;77.0;210.0;Memphis State;1966-02-28;TN;USA;B;0.0
askinke01;1.0;887.0;158.67;41.67;30.89;18.89;35.67;9;G-F;79.0;197.0;Alabama;1967-12-15;AL;USA;B;0.0
atkinch01;1.21;1236.07;84.71;171.14;33.21;2.57;72.71;14;G;71.0;160.0;South Florida;1974-08-14;FL;USA;B;0.0
attleal01;1.0;1620.55;223.91;225.73;0.0;0.0;0.0;11;G;72.0;175.0;North Carolina A&T;1936-11-07;NJ;USA;B;0.0
augmost01;1.06;1353.69;201.0;97.56;60.88;19.81;78.0;16;G-F;78.0;205.0;UNLV;1968-08-01;CA;USA;B;0.0
augusdj01;1.0;1885.75;141.0;312.0;44.25;2.75;114.5;4;G;72.0;180.0;Texas;1987-11-10;LA;USA;B;0.0
austiis01;1.1;834.9;203.0;53.8;21.4;22.6;70.1;10;F-C;82.0;255.0;Arizona State;1969-08-18;CA;USA;B;0.0
aventan01;1.14;961.29;226.29;39.71;23.71;30.14;59.43;7;F;81.0;235.0;Seton Hall;1969-10-18;NC;USA;B;0.0
averibi01;1.17;1360.5;113.33;179.67;54.17;9.17;122.17;6;G;73.0;170.0;Pepperdine;1952-07-22;KY;USA;B;0.0
averywi01;1.0;401.67;31.0;66.33;11.33;2.0;35.33;3;G;74.0;180.0;Duke;1979-08-08;GA;USA;B;0.0
awtrede01;1.14;1011.36;238.71;104.79;13.29;13.0;17.5;14;C;82.0;235.0;Santa Clara;1948-02-22;CA;USA;W;0.0
azubuke01;1.0;1006.8;165.8;46.0;26.0;20.6;40.6;5;G;77.0;220.0;Kentucky;1983-12-16;;ENG;B;0.0
baechji01;1.0;1651.2;201.8;137.0;0.0;0.0;0.0;5;F-G;76.0;205.0;Eastern Kentucky;1927-12-09;PA;USA;W;0.0
bagarda01;1.0;324.33;79.33;12.33;9.67;14.33;24.0;3;C;85.0;255.0;none;1980-02-07;;GER;W;0.0
baglejo01;1.0;1556.36;157.18;361.82;68.64;4.91;137.45;11;G;72.0;185.0;Boston College;1960-04-23;CT;USA;B;0.0
bailegu01;1.0;269.2;48.8;33.6;11.2;8.6;9.0;5;G-F;77.0;185.0;UTEP;1951-02-18;NC;USA;B;0.0
baileja01;1.18;1056.82;271.64;44.36;27.73;47.36;96.09;11;F-C;81.0;220.0;Rutgers;1957-05-21;GA;USA;B;0.0
baileth01;1.08;1913.31;362.92;99.85;33.46;83.54;111.08;13;F-C;83.0;215.0;North Carolina State;1961-04-07;DC;USA;B;0.0
bakervi01;1.13;1715.8;391.13;100.6;38.8;53.2;117.07;15;F;82.5;232.0;Hartford;1971-11-23;FL;USA;B;0.0
balkmre01;1.14;437.71;109.86;18.86;23.43;14.86;19.14;7;F;80.0;208.0;South Carolina;1984-07-14;NY;USA;B;0.0
ballagr01;1.0;2006.64;441.64;157.55;79.73;23.27;96.27;11;F;79.0;215.0;Oregon;1955-01-29;CA;USA;B;0.0
banksge01;1.0;2179.0;453.0;222.5;72.67;16.83;139.17;6;F-G;79.0;215.0;Duke;1959-05-15;PA;USA;B;0.0
banksma01;1.27;507.0;47.45;66.27;24.18;5.18;39.64;11;G;74.0;200.0;UNLV;1981-11-19;NV;USA;B;0.0
bannike01;1.0;773.4;178.6;22.2;21.8;16.0;69.4;5;F-C;81.0;235.0;St. Augustine;1960-04-01;MD;USA;B;0.0
bantomi01;1.25;1643.75;376.42;135.25;52.5;39.83;78.83;12;F-C;81.0;200.0;St. Joseph's (PA);1951-12-03;PA;USA;B;0.0
barbole01;1.1;1449.0;132.5;142.5;55.3;8.5;87.6;10;G;75.0;176.0;none;1982-11-28;SP;BRA;B;0.0
bardost01;1.0;149.0;29.5;22.0;6.0;2.0;11.0;3;G;77.0;190.0;Illinois;1968-04-05;KY;USA;B;0.0
bareajo01;1.0;1080.5;110.33;192.5;23.0;2.33;82.17;6;G;71.0;175.0;Northeastern;1984-06-26;PR;PUR;W;0.0
bargnan01;1.0;2021.67;327.83;84.33;27.67;59.83;111.83;6;F;84.0;225.0;none;1985-10-26;;ITA;W;1.0
barkecl01;1.0;494.0;81.0;70.0;0.0;0.0;0.0;3;G;74.0;185.0;Kentucky;1921-01-15;IN;USA;W;0.0
barketo01;1.75;457.5;130.0;18.75;10.75;13.0;8.5;4;C-F;83.0;225.0;Hawaii;1955-03-11;TX;USA;B;0.0
barklch01;1.0;2458.12;784.12;263.44;103.0;55.5;211.0;16;F;77.0;250.0;Auburn;1963-02-20;AL;USA;B;1.0
barksdo01;1.0;1865.0;522.0;137.25;0.0;0.0;0.0;4;F-C;78.0;200.0;UCLA;1923-03-31;CA;USA;B;0.0
barnedi01;0.93;2065.2;210.93;191.73;0.07;0.0;0.0;15;G-F;76.0;190.0;Tennessee State;1936-10-02;IN;USA;B;1.0
barneji01;1.3;945.5;293.9;37.7;0.0;0.0;0.0;10;C-F;80.0;210.0;Texas Western;1941-04-13;AR;USA;B;0.0
barneji02;1.08;1450.83;188.25;186.0;10.92;2.5;0.0;12;G-F;76.0;170.0;Oregon;1944-07-07;SC;USA;W;0.0
barnema01;1.14;1325.86;410.43;93.0;52.14;62.57;108.43;7;F-C;80.0;210.0;Providence;1952-07-27;RI;USA;B;0.0
barnema02;1.1;1192.6;251.7;97.1;38.3;22.0;68.2;10;F;79.0;235.0;UCLA;1980-03-09;CA;USA;B;0.0
barnhjo01;1.08;1214.31;133.08;142.0;0.0;0.0;19.08;13;G;73.0;170.0;Tennessee State;1938-03-20;IN;USA;B;0.0
barnhle01;1.0;2607.5;456.5;266.0;0.0;0.0;0.0;6;F-G;76.0;190.0;Notre Dame;1924-05-17;IN;USA;W;0.0
barrean01;1.33;136.67;11.83;22.5;4.83;0.17;7.67;6;G;70.0;172.0;Seton Hall;1982-02-21;NY;USA;B;0.0
barremi01;1.0;1766.67;197.33;243.33;0.0;0.0;172.33;4;G;74.0;155.0;West Virginia Tech;1943-09-05;WV;USA;W;0.0
barrmi01;1.0;1268.2;126.4;172.2;42.0;8.6;85.6;5;G;75.0;180.0;Duquesne;1950-10-19;OH;USA;W;0.0
barroda01;1.0;1391.43;114.93;202.64;52.86;3.29;86.64;14;G;71.0;163.0;Boston College;1967-04-13;MA;USA;B;0.0
barroea01;1.38;210.62;50.38;6.75;4.62;2.75;11.38;8;C;84.0;245.0;Memphis;1981-08-14;MS;USA;B;0.0
barrybr01;1.07;1576.13;185.33;192.8;63.67;16.87;85.93;15;G;78.0;185.0;Oregon State;1971-12-31;NY;USA;W;0.0
barrydr01;1.25;149.5;16.75;27.75;4.75;0.5;13.75;4;G;77.0;190.0;Georgia Tech;1973-02-17;CA;USA;W;0.0
barryjo01;1.07;925.33;100.87;118.93;48.13;7.4;53.87;15;G;76.0;195.0;Georgia Tech;1969-07-25;CA;USA;W;0.0
barryri01;1.0;2725.21;490.21;353.71;78.86;19.21;97.43;14;F;79.0;205.0;Miami (FL);1944-03-28;NJ;USA;W;1.0
bassbr01;1.0;1151.0;248.71;34.0;18.14;35.14;54.57;7;F;80.0;240.0;Louisiana State;1985-04-30;LA;USA;B;0.0
basseti01;1.12;1403.75;393.5;72.0;44.75;28.38;59.12;8;F-C;80.0;225.0;Georgia;1951-04-01;DC;USA;B;0.0
bastoma01;1.0;208.0;43.75;6.5;6.0;10.75;13.5;4;F;81.0;215.0;Michigan ;1975-05-29;TX;USA;B;0.0
bateeme01;1.0;164.67;38.0;9.0;3.67;1.67;13.33;3;C;83.0;290.0;none;1975-11-20;;CHN;O;0.0
batesbi01;1.2;665.6;62.6;70.4;30.2;3.2;54.8;5;G;76.0;210.0;Kentucky State;1956-05-31;MS;USA;B;0.0
battish01;1.08;2229.25;315.0;131.83;74.75;67.67;68.58;12;G-F;80.0;220.0;Duke;1978-09-09;MI;USA;B;0.0
battito01;1.07;1176.47;285.8;34.8;28.0;47.53;46.93;15;C-F;83.0;230.0;Texas Tech;1976-02-11;TX;USA;B;0.0
battljo01;1.0;1091.0;82.4;125.7;27.3;4.3;65.9;10;G;74.0;175.0;Rutgers;1962-11-09;DC;USA;B;0.0
battlke01;1.33;299.17;54.5;17.67;16.33;5.17;15.17;6;F;78.0;210.0;Illinois;1964-10-10;IL;USA;B;0.0
batumni01;1.0;1671.25;248.25;81.25;49.75;43.5;62.5;4;F-G;80.0;200.0;none;1988-12-14;;FRA;B;0.0
baumjo01;1.17;566.17;111.0;23.5;6.0;2.67;24.5;6;F;77.0;200.0;Temple;1946-06-17;PA;USA;B;0.0
baxtelo01;1.57;269.14;68.14;5.71;5.29;8.43;15.43;7;F;79.0;260.0;Maryland;1979-07-27;MD;USA;B;0.0
bayleje01;1.2;831.2;81.6;126.8;20.8;3.2;66.0;5;G;75.0;200.0;Arizona ;1988-08-20;AZ;USA;B;0.0
bayloel01;1.0;2418.79;818.79;260.71;0.0;0.0;0.0;14;F;77.0;225.0;Seattle;1934-09-16;DC;USA;B;1.0
beardbu01;1.1;1428.3;204.2;218.9;49.9;3.6;16.4;10;G;75.0;185.0;Louisville;1947-05-04;KY;USA;B;0.0
beaslch01;1.2;1469.4;140.8;172.0;0.0;0.0;108.4;5;G-F;77.0;190.0;Southern Methodist;1945-09-23;OK;USA;W;0.0
beasljo01;1.12;1743.38;532.12;75.25;0.88;1.25;77.88;8;F-C;81.0;225.0;Texas A&M;1944-02-05;TX;USA;W;0.0
beaslmi01;1.0;1946.0;388.25;96.5;48.25;39.25;131.75;4;F;82.0;245.0;Kansas State;1989-01-09;MD;USA;B;1.0
beatyze01;1.0;2473.0;805.42;113.75;8.92;14.33;60.5;12;C;81.0;225.0;Prairie View A&M;1939-10-25;TX;USA;B;1.0
beaubro01;1.0;782.33;93.67;96.67;35.0;16.0;57.0;3;G;72.0;170.0;none;1988-02-24;;FRA;B;0.0
beckby01;1.0;1919.7;526.1;97.8;17.0;4.3;93.3;10;C-F;81.0;225.0;Denver;1945-01-25;WA;USA;W;0.0
beckco01;1.25;237.75;31.25;30.75;10.75;2.25;21.75;4;G;73.0;190.0;Arkansas;1971-05-27;TN;USA;B;0.0
beckear01;1.25;1319.25;325.5;51.25;0.0;0.0;73.12;8;F;78.5;205.0;Arizona State;1942-01-12;OH;USA;W;0.0
becker01;1.12;881.75;148.88;83.62;0.0;0.0;0.0;8;G-F;76.0;190.0;Pennsylvania;1931-12-11;PA;USA;W;0.0
beckla01;3.0;720.0;110.0;49.0;0.0;0.0;0.0;3;F;75.0;195.0;Washington State;0000-00-00;;;W;0.0
bedelbo01;1.0;1119.25;346.5;80.0;0.0;0.0;92.5;4;F;79.0;205.0;Stanford;1944-06-26;CA;USA;W;0.0
bedfowi01;1.0;419.0;95.5;18.17;6.17;21.0;28.83;6;C;84.0;225.0;Memphis State;1963-12-14;TN;USA;B;0.0
behagro01;1.6;913.0;271.2;62.4;29.0;16.0;18.8;11;F-C;81.0;185.0;Minnesota;1951-01-14;NY;USA;B;0.0
belinma01;1.0;1233.0;100.6;77.0;33.8;3.4;55.4;5;G;77.0;192.0;none;1986-03-25;;ITA;W;0.0
bellawa01;1.18;2290.59;837.71;149.65;3.06;2.82;0.0;17;C;82.5;225.0;Indiana;1939-07-24;NC;USA;B;1.0
bellch01;1.0;1338.57;116.14;122.43;43.29;4.43;52.0;8;G;75.0;200.0;Michigan State;1979-03-12;MI;USA;B;0.0
bellde01;1.0;270.5;59.5;14.0;14.0;5.0;0.0;3;F;77.0;185.0;Drake;1951-06-02;OH;USA;B;0.0
bellra01;1.14;1415.29;140.57;86.29;34.57;9.29;49.64;14;G;77.0;210.0;Florida International;1976-09-19;;ISV;B;0.0
bellwh01;0.5;780.5;97.75;102.75;0.0;0.0;0.0;4;G;72.0;174.0;North Carolina State;1932-09-13;KY;USA;W;0.0
bendejo01;1.0;480.88;72.75;21.25;5.38;21.12;32.25;8;F;83.0;198.0;none;1981-01-30;MS;USA;B;0.0
benjabe01;1.17;1217.28;336.83;59.44;29.0;87.83;102.61;18;C;84.0;250.0;Creighton;1964-11-22;LA;USA;B;0.0
benjaco01;1.0;547.75;64.75;35.75;17.75;12.0;41.0;4;G;78.0;200.0;Oregon State;1978-02-24;CA;USA;B;0.0
benneel01;1.25;39.75;2.5;5.5;2.25;0.25;5.0;4;G;72.0;170.0;Notre Dame;1970-02-13;IL;USA;B;0.0
bennema01;1.0;201.0;60.0;8.0;10.33;7.33;11.0;4;F;81.0;220.0;Arizona State;1973-08-01;TX;USA;B;0.0
benneme01;1.0;745.0;190.4;40.8;25.8;19.6;48.2;5;F;79.0;200.0;Pittsburgh;1955-01-04;PA;USA;B;0.0
benneto01;1.0;628.67;51.67;101.0;23.0;0.33;31.0;3;G;72.0;175.0;Wisconsin-Green Bay;1969-06-01;WI;USA;W;0.0
bennewi01;1.25;539.25;103.5;30.0;12.5;5.25;28.75;4;F;79.0;210.0;Kentucky;1965-02-09;KY;USA;B;0.0
benoida01;1.12;1164.25;247.88;35.88;27.0;30.75;53.0;8;F;80.0;220.0;Alabama;1968-05-09;LA;USA;B;0.0
bensoke01;1.08;1309.92;323.42;100.25;50.42;48.83;89.08;12;C;82.0;235.0;Indiana;1954-12-27;IN;USA;W;0.0
berrywa01;1.4;972.6;194.2;58.4;24.4;30.2;80.8;5;F;80.0;215.0;St. John's (NY);1964-05-14;NY;USA;B;0.0
besttr01;1.09;1377.27;113.55;222.18;60.09;5.45;84.36;11;G;71.0;182.0;Georgia Tech;1972-07-12;MA;USA;B;0.0
biancal01;1.0;1364.9;172.2;149.7;0.0;0.0;0.0;10;G;75.0;185.0;Bowling Green;1932-03-26;NY;USA;W;0.0
bibbyhe01;1.1;1547.5;158.1;225.9;56.1;3.4;57.3;10;G;73.0;185.0;UCLA;1949-11-24;NC;USA;B;0.0
bibbymi01;1.24;1997.47;182.53;324.53;68.94;8.76;125.53;17;G;73.0;190.0;Arizona;1978-05-13;NJ;USA;B;0.0
biedran01;1.0;1325.62;432.38;56.62;39.5;67.12;57.88;8;F;83.0;240.0;none;1986-04-02;;LAT;O;0.0
bigelbo01;1.2;152.4;22.2;8.4;3.8;0.8;3.6;5;F-G;79.0;215.0;Pennsylvania;1953-12-26;MA;USA;W;0.0
billuch01;1.17;1793.78;162.89;308.06;57.28;9.22;115.94;18;G;75.0;202.0;Colorado;1976-09-25;CO;USA;B;0.0
bingda01;1.0;2730.75;285.0;449.75;40.25;7.42;18.0;12;G;75.0;180.0;Syracuse;1943-11-24;DC;USA;B;1.0
birdla01;1.0;2649.46;690.31;438.08;119.69;58.08;216.62;13;F-G;81.0;220.0;Indiana State;1956-12-07;IN;USA;W;1.0
birdsot01;1.0;1802.25;172.67;188.33;71.5;11.92;124.25;12;G;75.0;190.0;Houston;1955-12-09;FL;USA;B;1.0
blabuw01;1.17;327.67;68.83;17.0;3.17;14.17;23.5;6;C;85.0;250.0;Indiana;1962-03-26;;GER;W;0.0
blackch01;1.0;117.0;31.0;9.0;0.0;0.0;0.0;7;F-C;76.0;195.0;Kansas;1921-06-15;ID;USA;W;0.0
blackro01;1.0;2468.23;252.15;229.31;55.0;21.08;140.69;13;G;78.0;190.0;Kansas State;1959-02-26;;PAN;B;1.0
blairde01;1.0;1530.33;480.67;73.33;68.0;31.0;105.67;3;F;79.0;265.0;Pittsburgh;1989-04-22;PA;USA;B;0.0
blakest01;1.18;1421.36;118.09;225.18;39.36;3.55;79.36;11;G;75.0;172.0;Maryland;1980-02-26;FL;USA;W;0.0
blankla01;1.0;348.33;36.67;39.0;13.0;2.67;21.0;3;G;76.0;190.0;Texas;1966-09-09;TX;USA;B;0.0
blatcan01;1.0;1326.86;316.71;85.86;47.29;52.14;97.29;7;F;83.0;235.0;none;1986-08-22;NY;USA;B;0.0
blaylmo01;1.0;2386.62;281.46;459.38;159.62;23.08;159.0;13;G;72.0;180.0;Oklahoma;1967-03-20;TX;USA;B;0.0
blockjo01;1.17;1193.0;330.42;67.08;9.25;5.58;0.0;12;F-C;81.0;207.0;USC;1944-04-16;CA;USA;W;0.0
blounco01;1.21;709.0;192.14;32.86;23.43;18.93;37.07;14;F;81.0;240.0;Cincinnati;1969-01-04;CA;USA;B;0.0
blounma01;1.18;1271.18;253.09;46.64;29.73;46.18;84.82;11;C;84.0;230.0;Pittsburgh;1975-11-30;NY;USA;B;0.0
bobbne01;1.0;1239.0;152.0;180.0;0.0;0.0;0.0;4;G;72.0;170.0;Temple;1924-02-25;PA;USA;W;0.0
bockhbu01;1.0;2113.0;319.14;235.0;0.0;0.0;0.0;7;G;76.0;200.0;Dayton;1933-07-08;IL;USA;W;0.0
boerwto01;1.0;1438.7;574.5;200.7;11.0;13.8;2.6;10;C;84.0;265.0;Tennessee;1945-08-23;OH;USA;W;0.0
